VialID	box	rack	run	vials	atac	timecoursev2	run_real	POP	thaw_date	p3_date	lib_prep__date	p3_experimenter	lib_prep__experimenter	ash_num	index	COND	well	lib_1	lib_2	TP	IID	Age	Gender
EUB158			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			COV	D7	130	134	T6	EUB158	24	M
EUB158			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			IAV	D7	129	133	T6	EUB158	24	M
EUB158			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			NS	D7	127	131	T6	EUB158	24	M
EUB198			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			COV	D9	127	131	T6	EUB198	33	M
EUB198			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			IAV	D9	130	134	T6	EUB198	33	M
EUB198			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			NS	D9	128	132	T6	EUB198	33	M
ASH013			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	F3	128	132	T6	ASH013	26	F
ASH013			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	F3	127	131	T6	ASH013	26	F
ASH013			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	F3	129	133	T6	ASH013	26	F
ASH026			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	F5	129	133	T6	ASH026	19	M
ASH026			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	F5	128	132	T6	ASH026	19	M
ASH026			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	F5	130	134	T6	ASH026	19	M
ASH031			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	F7	130	134	T6	ASH031	44	F
ASH031			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	F7	129	133	T6	ASH031	44	F
ASH031			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	F7	127	131	T6	ASH031	44	F
ASH038			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	F9	127	131	T6	ASH038	57	M
ASH038			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	F9	130	134	T6	ASH038	57	M
ASH038			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	F9	128	132	T6	ASH038	57	M
ASH050			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	H3	128	132	T6	ASH050	57	M
ASH050			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	H3	127	131	T6	ASH050	57	M
ASH050			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	H3	129	133	T6	ASH050	57	M
ASH052			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	H5	129	133	T6	ASH052	23	F
ASH052			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	H5	128	132	T6	ASH052	23	F
ASH052			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	H5	130	134	T6	ASH052	23	F
ASH054			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	H7	130	134	T6	ASH054	34	F
ASH054			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	H7	129	133	T6	ASH054	34	F
ASH054			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	H7	127	131	T6	ASH054	34	F
ASH056			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			COV	H9	127	131	T6	ASH056	27	F
ASH056			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			IAV	H9	130	134	T6	ASH056	27	F
ASH056			15			FALSE	15	ASH	181021	191021	201021	ABYA	ABYA			NS	H9	128	132	T6	ASH056	27	F
13	Buffy	Buffy	3	2	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	13	1	COV	B3	18	22	T6	ASH001	51	M
13	Buffy	Buffy	3	2	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	13	1	IAV	B3	17	21	T6	ASH001	51	M
13	Buffy	Buffy	3	2	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	13	1	NS	B3	19	23	T6	ASH001	51	M
14	Buffy	Buffy	3	1	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	14	2	COV	B5	19	23	T6	ASH002	41	M
14	Buffy	Buffy	3	1	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	14	2	IAV	B5	18	22	T6	ASH002	41	M
14	Buffy	Buffy	3	1	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	14	2	NS	B5	20	24	T6	ASH002	41	M
147o	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		1	COV	B3	98	102	T6	ASH008	54	F
147o	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		1	IAV	B3	97	101	T6	ASH008	54	F
147o	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		1	NS	B3	99	103	T6	ASH008	54	F
147y	Buffy	Buffy	14	2	FALSE	FALSE	14	ASH	310521	10621	20621	ABYA	ZL		5	COV	B3	106	110	T6	ASH009	27	F
147y	Buffy	Buffy	14	2	FALSE	FALSE	14	ASH	310521	10621	20621	ABYA	ZL		5	IAV	B3	105	109	T6	ASH009	27	F
147y	Buffy	Buffy	14	2	FALSE	FALSE	14	ASH	310521	10621	20621	ABYA	ZL		5	NS	B3	107	111	T6	ASH009	27	F
149	Buffy	Buffy	3	3	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	149	4	COV	B9	17	21	T6	ASH010	33	F
149	Buffy	Buffy	3	3	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	149	4	IAV	B9	20	24	T6	ASH010	33	F
149	Buffy	Buffy	3	3	FALSE	FALSE	3	ASH	120421	130421	150421	ABYA	ZL	149	4	NS	B9	18	22	T6	ASH010	33	F
174	Buffy	Buffy	6	2	FALSE	FALSE	5	ASH	200421	210421	220421	ABYA	YA	402	2	COV	B5	35	39	T6	ASH011	63	F
174	Buffy	Buffy	6	2	FALSE	FALSE	5	ASH	200421	210421	220421	ABYA	YA	402	2	IAV	B5	34	38	T6	ASH011	63	F
174	Buffy	Buffy	6	2	FALSE	FALSE	5	ASH	200421	210421	220421	ABYA	YA	402	2	NS	B5	36	40	T6	ASH011	63	F
229	Buffy	Buffy	7	2	FALSE	FALSE	8	ASH	260421	270421	290421	ABYA	ZL	174	1	COV	B3	58	62	T6	ASH012	33	M
229	Buffy	Buffy	7	2	FALSE	FALSE	8	ASH	260421	270421	290421	ABYA	ZL	174	1	IAV	B3	57	61	T6	ASH012	33	M
229	Buffy	Buffy	7	2	FALSE	FALSE	8	ASH	260421	270421	290421	ABYA	ZL	174	1	NS	B3	59	63	T6	ASH012	33	M
24	Buffy	Buffy	6	2	FALSE	FALSE	5	ASH	200421	210421	220421	ABYA	YA	24	1	COV	B3	34	38	T6	ASH003	19	M
24	Buffy	Buffy	6	2	FALSE	FALSE	5	ASH	200421	210421	220421	ABYA	YA	24	1	IAV	B3	33	37	T6	ASH003	19	M
